# Title: 1Hosts (Pro)
# Last modified: 2025-07-20T07:40:51.978Z
# Homepage: https://github.com/badmojr/1Hosts
# ..............
#  |Count: 313,718 rules!
#  |Size: 10.89 MB
#  |
#  |Credits & ©: https://badmojr.github.io/1Hosts/-data/lists/assets.txt
#  |Licence: MPLv2,
#  | https://www.mozilla.org/en-US/MPL/2.0/
#  /
# ( Please report any issues related to this file.
#  \......................................
#  | GH: github.com/badmojr/1Hosts/issues
#  \____________________

127.0.0.1 localhost
0.0.0.0 0--0--0-364f0c42.int.ad.smartnews.net
0.0.0.0 0-01.trafficjunky.com
0.0.0.0 0-1.affiliates.myhippo.com
0.0.0.0 0-10-9-app.ircd.20tadoghq.usage-comprocessbeta-intakes.ircd.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.ircd.datadoghq.com
0.0.0.0 0-10-9-app.us0.20tadoghq.usage-comprocessbeta-intakes.us0.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us0.datadoghq.com
0.0.0.0 0-10-9-app.us0.20tadoghq.usage-comprocessbeta-intamdmdes.us0.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us0.datadoghq.com
0.0.0.0 0-13-15-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-2-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-2-app.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-bsage.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.bsage.us3.datadoghq.com
0.0.0.0 0-13-9-adm.us3.10tadoghq.usage-comprocessbeta-intakes.us3.10tadoghq.customer-agent.10tadoghq.helm-10tadoghq-stitchfix.10tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-aecho.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3-p.datadoghq.com
0.0.0.0 0-13-9-aip.us3.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.8-us3.datadoghq.com
0.0.0.0 0-13-9-app.ap1.10tadoghq.usage-comprocessbeta-intakes.ap1.10tadoghq.customer-agent.10tadoghq.helm-10tadoghq-stitchfix.10tadoghq.consul.agent.ap1.datadoghq.com
0.0.0.0 0-13-9-app.ap1.20tadoghq.usage-comprocessbeta-intakes.ap1.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.ap1.datadoghq.com
0.0.0.0 0-13-9-app.api.20tadoghq.usage-comprocessbeta-intakes.api.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.api.datadoghq.com
0.0.0.0 0-13-9-app.api.20tadoghq.usage-comprocessbeta-intakes.api.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.mentoring3.agent.api.datadoghq.com
0.0.0.0 0-13-9-app.api.20tadoghq.usage-comprocessbeta-public-lives.api.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.api.datadoghq.com
0.0.0.0 0-13-9-app.api.20tadoghq.usage-comprocessdev-intakes.api.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.api.datadoghq.com
0.0.0.0 0-13-9-app.api.20tadoghq.usage-compydocprodbeta-intakes.api.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.api.datadoghq.com
0.0.0.0 0-13-9-app.app.20tadoghq.usage-comprocessbeta-intakes.app.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.app.datadoghq.com
0.0.0.0 0-13-9-app.app.20tadoghq.usage-comprocessbeta-pydocprod.app.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.app.datadoghq.com
0.0.0.0 0-13-9-app.ems.20tadoghq.usage-comprocessbeta-intakes.ems.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.ems.agent.datadoghq.com
0.0.0.0 0-13-9-app.gcp.20tadoghq.usage-comprocessbeta-intakes.gcp.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.gcp.agent.datadoghq.com
0.0.0.0 0-13-9-app.rdp.20tadoghq.usage-comprocessbeta-intakes.rdp.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.rdp.datadoghq.com
0.0.0.0 0-13-9-app.ul3.20tadoghq.ulage-comprocellbeta-intakel.ul3.20tadoghq.cultomer-agent.20tadoghq.helm-20tadoghq-ltitchfix.20tadoghq.conlul.agent.ul3.agent.datadoghq.com
0.0.0.0 0-13-9-app.up3.20tadoghq.upage-comprocessbeta-intakes.up3.20tadoghq.cuptomer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.up3.datadoghq.com
0.0.0.0 0-13-9-app.us3-event.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3-helm.20tadoghq.usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-btdoghq.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.10tadoghq.oohmediaomcsooohmediaesstos.us3.10tadoghq.customer-agent.10tadoghq.helm-10tadoghq-stitchfix.10tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.10tadoghq.usage-api0-13-9-app-intakes.us3.10tadoghq.customer-agent.10tadoghq.helm-10tadoghq-stitchfix.10tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.10tadoghq.usage-comprocessbeta-intakes.us3.10tadoghq.customer-agent.10tadoghq.appusage-10tadoghq-stitchfix.10tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.10tadoghq.usage-comprocessbeta-intakes.us3.10tadoghq.customer-agent.10tadoghq.helm-10tadoghq-stitchfix.10tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.10tadoghq.usage-comprocessbeta-intakes.us3.10tadoghq.customer-agent.10tadoghq.helm-10tadoghq-stitchfix.10tadoghq.p-api.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.10tadoghq.usage-comprocessbeta-intakes.us3.10tadoghq.customer-agent.10tadoghq.helm-10tadoghq-stitchfix.10tadoghq.spinplus.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.10tadoghq.usage-comprocessbeta-intakes.us3.10tadoghq.trace-public-agent.10tadoghq.helm-10tadoghq-stitchfix.10tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.10tadoghq.usage-comprocessbeta-learnings.us3.10tadoghq.customer-agent.10tadoghq.helm-10tadoghq-stitchfix.10tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.10tadoghq.usage-comprocessboingo-intakes.us3.10tadoghq.customer-agent.10tadoghq.helm-10tadoghq-stitchfix.10tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.10tadoghq.usage-comprocessoxxo-intakes.us3.10tadoghq.customer-agent.10tadoghq.helm-10tadoghq-stitchfix.10tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.10tadoghq.usage-comprocessus3-agent-intakes.us3.10tadoghq.customer-agent.10tadoghq.helm-10tadoghq-stitchfix.10tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.10tadoghq.usage-comprocus0sbeta-intakus0.us3.10tadoghq.customer-agent.10tadoghq.helm-10tadoghq-stitchfix.10tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.10tadoghq.usage-comus3-helmbeta-intakes.us3.10tadoghq.customer-agent.10tadoghq.helm-10tadoghq-stitchfix.10tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.10tadoghq.userverge-comprocessbeta-intakes.us3.10tadoghq.customer-agent.10tadoghq.helm-10tadoghq-stitchfix.10tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20t14oghq.usage-comprocessbeta-intakes.us3.20t14oghq.customer-agent.20t14oghq.helm-20t14oghq-stitchfix.20t14oghq.consul.agent.us3-5.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.9usage-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.ap3-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.datadoghq.com
0.0.0.0 0-13-9-app.us3.20tadoghq.api-u-comprocessbeta-intakes.us3.20tadoghq.customer-agent.20tadoghq.helm-20tadoghq-stitchfix.20tadoghq.consul.agent.us3.agent.datadoghq.com
